state,metric,rank_29th,rank_30th,rank_change,movement
Ohio,rural_opa_poor_percent_score,9,15,6,moved down
South Dakota,rural_opa_poor_percent_score,18,24,6,moved down
Virginia,rural_opa_poor_percent_score,11,17,6,moved down
Idaho,rural_opa_poor_percent_score,19,26,7,moved down
West Virginia,rural_opa_poor_percent_score,36,43,7,moved down
Connecticut,rural_opa_poor_percent_score,32,40,8,moved down
Idaho,state_avg_congestion_hours_score,22,14,-8,moved up
Nevada,state_avg_congestion_hours_score,33,27,-6,moved up
Connecticut,state_avg_congestion_hours_score,28,24,-4,moved up
Missouri,state_avg_congestion_hours_score,26,23,-3,moved up
Montana,state_avg_congestion_hours_score,7,4,-3,moved up
Rhode Island,state_avg_congestion_hours_score,37,34,-3,moved up
Alabama,state_avg_congestion_hours_score,14,12,-2,moved up
Hawaii,state_avg_congestion_hours_score,20,18,-2,moved up
Massachusetts,state_avg_congestion_hours_score,49,47,-2,moved up
Indiana,state_avg_congestion_hours_score,31,30,-1,moved up
Mississippi,state_avg_congestion_hours_score,12,11,-1,moved up
Nebraska,state_avg_congestion_hours_score,23,22,-1,moved up
New Hampshire,state_avg_congestion_hours_score,32,31,-1,moved up
Oklahoma,state_avg_congestion_hours_score,16,15,-1,moved up
Oregon,state_avg_congestion_hours_score,34,33,-1,moved up
Washington,state_avg_congestion_hours_score,39,38,-1,moved up
Alaska,state_avg_congestion_hours_score,10,10,0,no change
Arkansas,state_avg_congestion_hours_score,17,17,0,no change
California,state_avg_congestion_hours_score,46,46,0,no change
Florida,state_avg_congestion_hours_score,40,40,0,no change
Georgia,state_avg_congestion_hours_score,45,45,0,no change
Illinois,state_avg_congestion_hours_score,44,44,0,no change
Iowa,state_avg_congestion_hours_score,1,1,0,no change
Kansas,state_avg_congestion_hours_score,3,3,0,no change
Louisiana,state_avg_congestion_hours_score,29,29,0,no change
Maine,state_avg_congestion_hours_score,8,8,0,no change
Maryland,state_avg_congestion_hours_score,43,43,0,no change
New Jersey,state_avg_congestion_hours_score,50,50,0,no change
New Mexico,state_avg_congestion_hours_score,13,13,0,no change
New York,state_avg_congestion_hours_score,48,48,0,no change
North Dakota,state_avg_congestion_hours_score,2,2,0,no change
Pennsylvania,state_avg_congestion_hours_score,42,42,0,no change
South Carolina,state_avg_congestion_hours_score,25,25,0,no change
South Dakota,state_avg_congestion_hours_score,9,9,0,no change
Tennessee,state_avg_congestion_hours_score,36,36,0,no change
Texas,state_avg_congestion_hours_score,41,41,0,no change
Utah,state_avg_congestion_hours_score,19,19,0,no change
Wisconsin,state_avg_congestion_hours_score,21,21,0,no change
Kentucky,state_avg_congestion_hours_score,27,28,1,moved down
Michigan,state_avg_congestion_hours_score,15,16,1,moved down
Vermont,state_avg_congestion_hours_score,6,7,1,moved down
Virginia,state_avg_congestion_hours_score,38,39,1,moved down
West Virginia,state_avg_congestion_hours_score,5,6,1,moved down
Wyoming,state_avg_congestion_hours_score,4,5,1,moved down
Colorado,state_avg_congestion_hours_score,35,37,2,moved down
Delaware,state_avg_congestion_hours_score,47,49,2,moved down
Minnesota,state_avg_congestion_hours_score,24,26,2,moved down
North Carolina,state_avg_congestion_hours_score,30,32,2,moved down
Ohio,state_avg_congestion_hours_score,18,20,2,moved down
Arizona,state_avg_congestion_hours_score,11,35,24,moved down
Alabama,urban_fatalities_per_100m_vmt_score,28,NA,NA,missing
Alaska,urban_fatalities_per_100m_vmt_score,11,NA,NA,missing
Arizona,urban_fatalities_per_100m_vmt_score,43,NA,NA,missing
Arkansas,urban_fatalities_per_100m_vmt_score,35,NA,NA,missing
California,urban_fatalities_per_100m_vmt_score,27,NA,NA,missing
Colorado,urban_fatalities_per_100m_vmt_score,39,NA,NA,missing
Connecticut,urban_fatalities_per_100m_vmt_score,15,NA,NA,missing
Delaware,urban_fatalities_per_100m_vmt_score,29,NA,NA,missing
Florida,urban_fatalities_per_100m_vmt_score,46,NA,NA,missing
Georgia,urban_fatalities_per_100m_vmt_score,37,NA,NA,missing
Hawaii,urban_fatalities_per_100m_vmt_score,40,NA,NA,missing
Idaho,urban_fatalities_per_100m_vmt_score,25,NA,NA,missing
Illinois,urban_fatalities_per_100m_vmt_score,23,NA,NA,missing
Indiana,urban_fatalities_per_100m_vmt_score,19,NA,NA,missing
Iowa,urban_fatalities_per_100m_vmt_score,24,NA,NA,missing
Kansas,urban_fatalities_per_100m_vmt_score,8,NA,NA,missing
Kentucky,urban_fatalities_per_100m_vmt_score,42,NA,NA,missing
Louisiana,urban_fatalities_per_100m_vmt_score,33,NA,NA,missing
Maine,urban_fatalities_per_100m_vmt_score,9,NA,NA,missing
Maryland,urban_fatalities_per_100m_vmt_score,32,NA,NA,missing
Massachusetts,urban_fatalities_per_100m_vmt_score,3,NA,NA,missing
Michigan,urban_fatalities_per_100m_vmt_score,22,NA,NA,missing
Minnesota,urban_fatalities_per_100m_vmt_score,1,NA,NA,missing
Mississippi,urban_fatalities_per_100m_vmt_score,48,NA,NA,missing
Missouri,urban_fatalities_per_100m_vmt_score,30,NA,NA,missing
Montana,urban_fatalities_per_100m_vmt_score,45,NA,NA,missing
Nebraska,urban_fatalities_per_100m_vmt_score,13,NA,NA,missing
Nevada,urban_fatalities_per_100m_vmt_score,38,NA,NA,missing
New Hampshire,urban_fatalities_per_100m_vmt_score,4,NA,NA,missing
New Jersey,urban_fatalities_per_100m_vmt_score,14,NA,NA,missing
New Mexico,urban_fatalities_per_100m_vmt_score,50,NA,NA,missing
New York,urban_fatalities_per_100m_vmt_score,17,NA,NA,missing
North Carolina,urban_fatalities_per_100m_vmt_score,16,NA,NA,missing
North Dakota,urban_fatalities_per_100m_vmt_score,2,NA,NA,missing
Ohio,urban_fatalities_per_100m_vmt_score,18,NA,NA,missing
Oklahoma,urban_fatalities_per_100m_vmt_score,44,NA,NA,missing
Oregon,urban_fatalities_per_100m_vmt_score,36,NA,NA,missing
Pennsylvania,urban_fatalities_per_100m_vmt_score,21,NA,NA,missing
Rhode Island,urban_fatalities_per_100m_vmt_score,20,NA,NA,missing
South Carolina,urban_fatalities_per_100m_vmt_score,41,NA,NA,missing
South Dakota,urban_fatalities_per_100m_vmt_score,10,NA,NA,missing
Tennessee,urban_fatalities_per_100m_vmt_score,47,NA,NA,missing
Texas,urban_fatalities_per_100m_vmt_score,26,NA,NA,missing
Utah,urban_fatalities_per_100m_vmt_score,12,NA,NA,missing
Vermont,urban_fatalities_per_100m_vmt_score,7,NA,NA,missing
Virginia,urban_fatalities_per_100m_vmt_score,6,NA,NA,missing
Washington,urban_fatalities_per_100m_vmt_score,31,NA,NA,missing
West Virginia,urban_fatalities_per_100m_vmt_score,34,NA,NA,missing
Wisconsin,urban_fatalities_per_100m_vmt_score,5,NA,NA,missing
Wyoming,urban_fatalities_per_100m_vmt_score,49,NA,NA,missing
Nevada,urban_interstate_poor_percent_score,22,9,-13,moved up
Wisconsin,urban_interstate_poor_percent_score,35,26,-9,moved up
Alabama,urban_interstate_poor_percent_score,30,23,-7,moved up
Delaware,urban_interstate_poor_percent_score,46,40,-6,moved up
Georgia,urban_interstate_poor_percent_score,14,8,-6,moved up
Rhode Island,urban_interstate_poor_percent_score,10,4,-6,moved up
Arkansas,urban_interstate_poor_percent_score,38,33,-5,moved up
Iowa,urban_interstate_poor_percent_score,32,27,-5,moved up
North Carolina,urban_interstate_poor_percent_score,23,19,-4,moved up
Minnesota,urban_interstate_poor_percent_score,16,13,-3,moved up
New Jersey,urban_interstate_poor_percent_score,42,39,-3,moved up
South Dakota,urban_interstate_poor_percent_score,13,10,-3,moved up
Arizona,urban_interstate_poor_percent_score,24,22,-2,moved up
Kentucky,urban_interstate_poor_percent_score,36,34,-2,moved up
Oklahoma,urban_interstate_poor_percent_score,39,37,-2,moved up
California,urban_interstate_poor_percent_score,48,47,-1,moved up
Montana,urban_interstate_poor_percent_score,15,14,-1,moved up
North Dakota,urban_interstate_poor_percent_score,3,2,-1,moved up
Oregon,urban_interstate_poor_percent_score,19,18,-1,moved up
Texas,urban_interstate_poor_percent_score,33,32,-1,moved up
Colorado,urban_interstate_poor_percent_score,45,45,0,no change
Florida,urban_interstate_poor_percent_score,6,6,0,no change
Hawaii,urban_interstate_poor_percent_score,50,50,0,no change
Louisiana,urban_interstate_poor_percent_score,49,49,0,no change
Nebraska,urban_interstate_poor_percent_score,7,7,0,no change
